shape,country,shape
changing,au,3
changing,ca,44
changing,de,2
changing,gb,27
changing,us,1000
chevron,au,2
chevron,ca,14
chevron,de,1
chevron,gb,3
chevron,us,413
cigar,au,6
cigar,ca,33
cigar,de,1
cigar,gb,19
cigar,us,849
circle,au,31
circle,ca,165
circle,de,5
circle,gb,164
circle,us,4139
cone,au,1
cone,ca,5
cone,gb,5
cone,us,152
cross,ca,3
cross,gb,6
cross,us,122
cylinder,au,1
cylinder,ca,22
cylinder,de,2
cylinder,gb,17
cylinder,us,593
diamond,au,6
diamond,ca,17
diamond,de,2
diamond,gb,18
diamond,us,552
disk,au,21
disk,ca,81
disk,de,3
disk,gb,46
disk,us,1708
egg,au,6
egg,ca,11
egg,de,1
egg,gb,12
egg,us,284
fireball,au,15
fireball,ca,143
fireball,de,7
fireball,gb,89
fireball,us,3657
flash,au,1
flash,ca,33
flash,gb,15
flash,us,726
formation,au,10
formation,ca,46
formation,de,2
formation,gb,35
formation,us,1274
light,au,61
light,ca,342
light,de,13
light,gb,224
light,us,8826
oval,au,14
oval,ca,71
oval,de,4
oval,gb,53
oval,us,1832
rectangle,au,3
rectangle,ca,27
rectangle,gb,14
rectangle,us,656
sphere,au,4
sphere,ca,116
sphere,de,5
sphere,gb,92
sphere,us,2796
teardrop,au,3
teardrop,ca,15
teardrop,gb,14
teardrop,us,377
triangle,au,18
triangle,ca,109
triangle,de,5
triangle,gb,72
triangle,us,3773
